0417182848
Bag = 15 , Depth = 1781 , Pressure = 2.52499 , Temperature = 20.3468
Bag = 16 , Depth = 1787 , Pressure = 2.53361 , Temperature = 20.5423
Bag = 17 , Depth = 1784 , Pressure = 2.52909 , Temperature = 20.1514
Bag = 18 , Depth = 1792 , Pressure = 2.54067 , Temperature = 20.9331
Bag = 19 , Depth = 1791 , Pressure = 2.53908 , Temperature = 21.0308
Bag = 20 , Depth = 1789 , Pressure = 2.53628 , Temperature = 21.4216
Bag = 21 , Depth = 1794 , Pressure = 2.54355 , Temperature = 20.9331
Bag = 22 , Depth = 1784 , Pressure = 2.52907 , Temperature = 20.3468
Bag = 23 , Depth = 1795 , Pressure = 2.5445 , Temperature = 20.5423
Bag = 24 , Depth = 1831 , Pressure = 2.59592 , Temperature = 21.7147
Bag = 25 , Depth = 1776 , Pressure = 2.51703 , Temperature = 20.5423
Bag = 26 , Depth = 1920 , Pressure = 2.72187 , Temperature = 20.9331
Bag = 27 , Depth = 1784 , Pressure = 2.52941 , Temperature = 21.4216
Bag = 28 , Depth = 1806 , Pressure = 2.56016 , Temperature = 21.3239
Bag = 29 , Depth = 1797 , Pressure = 2.54776 , Temperature = 20.8354
Bag = 30 , Depth = 1793 , Pressure = 2.54149 , Temperature = 20.7377
Bag = 31 , Depth = 1787 , Pressure = 2.53262 , Temperature = 21.1285
Bag = 32 , Depth = 1786 , Pressure = 2.53124 , Temperature = 21.2262
Bag = 33 , Depth = 1799 , Pressure = 2.55055 , Temperature = 23.8642
Bag = 34 , Depth = 1778 , Pressure = 2.52068 , Temperature = 20.9331
Bag = 35 , Depth = 1797 , Pressure = 2.54765 , Temperature = 19.6629
Bag = 36 , Depth = 1789 , Pressure = 2.5354 , Temperature = 19.8583
Bag = 37 , Depth = 1792 , Pressure = 2.53971 , Temperature = 20.7377
Bag = 38 , Depth = 1786 , Pressure = 2.53096 , Temperature = 21.1285
Bag = 39 , Depth = 1790 , Pressure = 2.53681 , Temperature = 20.8354
Bag = 40 , Depth = 1794 , Pressure = 2.54301 , Temperature = 20.5423
Bag = 41 , Depth = 1795 , Pressure = 2.54376 , Temperature = 20.4446
Bag = 42 , Depth = 1800 , Pressure = 2.55205 , Temperature = 20.2491
Bag = 43 , Depth = 1772 , Pressure = 2.51162 , Temperature = 20.8354
Bag = 44 , Depth = 1791 , Pressure = 2.5382 , Temperature = 19.956
Bag = 45 , Depth = 1789 , Pressure = 2.53538 , Temperature = 19.8583
Bag = 46 , Depth = 1793 , Pressure = 2.54229 , Temperature = 20.2491
Bag = 47 , Depth = 1784 , Pressure = 2.52895 , Temperature = 20.2491
Bag = 48 , Depth = 1785 , Pressure = 2.53002 , Temperature = 20.4446
Bag = 49 , Depth = 1776 , Pressure = 2.5174 , Temperature = 19.0767
Bag = 50 , Depth = 1793 , Pressure = 2.54099 , Temperature = 18.979
0417182931
